id,FunctionalSize,ValueAdjustmentFactor,ProjectElapsedTime,DevelopmentType,BusinessAreaType,ClientServer,DevelopmentPlatform,LanguageType,FirstOS,MaxTeamSize,NormalisedWorkEffortLevel1,PrimaryProgrammingLanguage,ProjectYear,DevelopmentManagementTechnique
1,3,1.09,16.43,Enhancement,?,Yes,?,?,?,?,28,PHP,2011,Waterfall
2,620,?,7.93,New_Development,?,?,MF,3GL,Unix,?,18160,.NET,2015,RAD
3,730,1.14,6.51,Enhancement,?,?,MF,3GL,Unix,?,20975,Ruby,2021,Agile
4,114,1.18,7.47,Enhancement,?,?,?,3GL,?,?,7290,C#,2001,Waterfall
5,460,1,4.05,Enhancement,?,?,?,?,?,5,2253,C#,2014,RAD
6,7,1.1,8.5,Enhancement,?,Yes,?,4GL,?,?,396,COBOL,2009,Waterfall
7,80,1.12,10.44,Enhancement,?,No,MF,3GL,Mainframe,3.5,3199,Java,2013,Agile
8,4,?,26.5,Enhancement,?,?,MF,3GL,Mainframe,?,145,PHP,2010,Waterfall
9,309,?,10.75,New_Development,?,?,PC,4GL,Windows,?,2516,.NET,2001,Agile
10,69,0.95,9.71,New_Development,?,Yes,?,3GL,?,?,2915,Java,2007,Agile
11,275,1.23,8.66,Enhancement,?,?,?,?,?,?,1888,COBOL,2018,Waterfall
12,68,?,4.91,Enhancement,?,?,MF,3GL,Mainframe,?,2710,Java,2020,Agile
13,12,1.11,3.38,Enhancement,?,Yes,?,4GL,?,?,343,Ruby,2006,RAD
14,702,?,29.36,New_Development,?,Yes,Multi,4GL,Windows,?,4805,.NET,2003,Waterfall
15,154,1,8.45,New_Development,Banking,?,MF,3GL,Mainframe,9,2408,C++,2004,RAD
16,3,?,6.76,Enhancement,?,?,MF,3GL,?,?,65,Go,2023,RAD
17,46,1.12,6.75,Enhancement,Telecommunications,?,?,4GL,?,11,4063,PHP,2003,Agile
18,203,1.18,21.02,Enhancement,?,?,?,3GL,?,?,1822,JavaScript,2008,Waterfall
